label	r1_ctx%	r1_cited%	r1_ratio	pool_ctx%	pool_cited%	pool_ratio	r1_cites	pool_cites
qwen_para_hybrid	100.0	100.0	1.00	100.0	100.0	1.00	5624	45272
qwen_para_replace_one	11.5	39.1	3.40	78.9	91.2	1.15	6438	101088
qwen_para_search	11.3	20.9	1.85	63.9	71.5	1.12	7264	178573
qwen_rerank_0.1_desklib	14.7	23.9	1.62	78.9	75.8	0.96	6525	154133
qwen_rerank_0.5_desklib	14.6	22.6	1.55	78.4	74.7	0.95	6457	158262
qwen_rerank_0.7_desklib	14.6	23.1	1.58	78.2	73.2	0.94	6361	155222
qwen_rerank_0.7_oracle	14.3	22.3	1.56	74.6	69.6	0.93	6449	158962
llama_para_hybrid	100.0	100.0	1.00	100.0	100.0	1.00	6051	46737
llama_para_replace_one	11.5	38.1	3.32	78.9	90.8	1.15	6729	110289
llama_para_search	11.3	21.2	1.88	64.2	71.2	1.11	7450	190283
llama_rerank_0.7_desklib	14.6	25.1	1.72	79.0	74.5	0.94	6679	170845
llama_rerank_0.7_oracle	14.4	21.4	1.48	74.9	68.7	0.92	6654	174934
mistral_para_hybrid	100.0	100.0	1.00	100.0	100.0	1.00	7044	56202
mistral_para_replace_one	11.5	41.0	3.57	78.9	92.3	1.17	7414	125778
mistral_para_search	11.6	22.6	1.95	68.2	76.0	1.12	7601	205216
mistral_rerank_0.7_desklib	14.8	29.6	2.00	80.2	80.3	1.00	6967	184917
mistral_rerank_0.7_oracle	14.6	24.2	1.66	77.5	76.3	0.98	7121	188131
deepseek_para_hybrid	100.0	100.0	1.00	100.0	100.0	1.00	5698	44492
deepseek_para_replace_one	11.5	36.7	3.20	78.9	89.0	1.13	6679	105748
deepseek_para_search	11.7	19.9	1.70	63.8	71.2	1.12	7163	183188
deepseek_rerank_0.7_desklib	14.6	26.5	1.81	78.6	79.0	1.00	6865	177532
deepseek_rerank_0.7_oracle	14.4	20.3	1.41	75.4	71.8	0.95	6955	181252
